time,ax,ay,az,bx,by,bz,angle_deg
3496399.0,2432.0,864.0,21876.0,116.0,984.0,18088.0,6.032071487179486
3898348.0,1888.0,1372.0,21360.0,-492.0,1684.0,17224.0,6.936599646970217
4300340.0,2000.0,620.0,22132.0,-240.0,852.0,18064.0,6.022233031303529
4702340.0,2412.0,640.0,22068.0,0.0,960.0,17952.0,6.3895891877230655
5104340.0,2252.0,456.0,21996.0,48.0,752.0,17960.0,5.81821147350645
5506340.0,2192.0,488.0,22148.0,-32.0,768.0,18088.0,5.8693211243728785
5908340.0,2300.0,608.0,22020.0,0.0,876.0,18020.0,6.080154660133917
6310340.0,2140.0,568.0,22144.0,-144.0,912.0,17952.0,6.147398806833785
6712340.0,2196.0,544.0,22040.0,-60.0,868.0,17928.0,6.0340955594177705
7114340.0,2300.0,544.0,22248.0,-128.0,648.0,18116.0,6.338174648519835
7516340.0,2420.0,552.0,22020.0,252.0,676.0,17796.0,5.5086109662437925
7918340.0,2420.0,492.0,22052.0,48.0,716.0,17976.0,6.189638807775871
8320340.0,2340.0,500.0,22120.0,68.0,844.0,18088.0,5.981908951461723
8722340.0,2216.0,396.0,22176.0,24.0,776.0,18132.0,5.807418045971306
9124340.0,2416.0,584.0,22276.0,96.0,820.0,18144.0,5.983959019183089
9526340.0,2340.0,668.0,22064.0,128.0,800.0,18024.0,5.701850010345553
9928340.0,2292.0,640.0,22164.0,4.0,880.0,17800.0,6.004650546270642
10330340.0,2244.0,592.0,22120.0,-52.0,812.0,17980.0,6.048142295684384
10732340.0,2208.0,684.0,22188.0,24.0,904.0,17956.0,5.713577493683643
11134340.0,2332.0,704.0,22000.0,-12.0,900.0,17944.0,6.173596800593595
11536340.0,2380.0,696.0,22048.0,-176.0,764.0,17856.0,6.752648242403314
11938340.0,1748.0,-104.0,22612.0,-20.0,396.0,17752.0,4.7419013079013945
12340340.0,2208.0,652.0,22164.0,-60.0,952.0,17992.0,6.02864984700247
12742340.0,2180.0,556.0,22188.0,0.0,876.0,17936.0,5.771776709302714
13144340.0,2288.0,596.0,21964.0,12.0,820.0,18120.0,5.996963781036458
13546340.0,2256.0,568.0,22136.0,-72.0,764.0,18084.0,6.119080849713716
13948340.0,2156.0,688.0,22016.0,-100.0,856.0,17984.0,5.981921429058559
14350340.0,2388.0,556.0,22208.0,32.0,828.0,18088.0,6.149355828752834
14752340.0,2316.0,480.0,22072.0,-32.0,696.0,17940.0,6.168217167444518
15154340.0,2272.0,684.0,22044.0,92.0,868.0,18064.0,5.674092508464531
15556340.0,2148.0,552.0,22092.0,-104.0,856.0,18204.0,6.0119567284971005
15958340.0,2316.0,600.0,22220.0,52.0,792.0,17908.0,5.865200643740505
16360340.0,2268.0,652.0,21980.0,-28.0,836.0,17892.0,6.057085057682063
