time,ax,ay,az,bx,by,bz
3549395.0,2224.0,596.0,22120.0,20.0,876.0,17888.0
3951345.0,2168.0,428.0,22180.0,32.0,772.0,17988.0
4353337.0,2324.0,532.0,22056.0,64.0,900.0,17916.0
4755337.0,2272.0,624.0,22060.0,44.0,952.0,17972.0
5157337.0,2284.0,580.0,22212.0,-40.0,856.0,17980.0
5559337.0,2388.0,652.0,22060.0,44.0,928.0,17856.0
5961337.0,2244.0,616.0,21968.0,92.0,848.0,17756.0
6363337.0,2288.0,488.0,22272.0,-8.0,832.0,17964.0
6765337.0,2384.0,524.0,22100.0,80.0,880.0,17996.0
7167337.0,2268.0,548.0,22144.0,8.0,844.0,17964.0
7569337.0,2448.0,684.0,22060.0,8.0,812.0,18012.0
7971337.0,2168.0,620.0,22096.0,-56.0,772.0,17972.0
8373337.0,2224.0,636.0,22012.0,-48.0,900.0,17808.0
8775337.0,2232.0,504.0,22336.0,36.0,828.0,18104.0
9177337.0,2348.0,596.0,22028.0,-76.0,776.0,17968.0
9579337.0,2260.0,560.0,22124.0,24.0,864.0,17952.0
9981337.0,2300.0,596.0,22116.0,48.0,780.0,17904.0
10383337.0,2356.0,680.0,21880.0,104.0,904.0,17916.0
10785337.0,2192.0,444.0,22200.0,-20.0,788.0,18112.0
11187337.0,2400.0,584.0,22080.0,-16.0,904.0,17920.0
11589337.0,2260.0,584.0,21896.0,-12.0,700.0,17936.0
11991337.0,2364.0,488.0,22268.0,92.0,796.0,17936.0
12393337.0,2340.0,588.0,21904.0,20.0,792.0,17944.0
12795337.0,2204.0,580.0,21936.0,52.0,808.0,18032.0
13197337.0,2212.0,616.0,22060.0,-76.0,1024.0,18068.0
13599337.0,2292.0,520.0,22160.0,12.0,820.0,18052.0
14001337.0,2280.0,532.0,21952.0,-44.0,776.0,18016.0
14403337.0,2332.0,576.0,22236.0,-156.0,752.0,17992.0
14805337.0,2300.0,584.0,22172.0,-96.0,816.0,17876.0
15207337.0,2292.0,608.0,22180.0,-132.0,692.0,18056.0
15609337.0,2372.0,548.0,22204.0,60.0,932.0,17896.0
16011337.0,2228.0,580.0,22080.0,-20.0,828.0,18056.0
16413337.0,2144.0,564.0,22180.0,-44.0,776.0,18068.0
16815337.0,2176.0,396.0,22240.0,-36.0,780.0,18092.0
17217337.0,2448.0,616.0,21968.0,116.0,852.0,17828.0
17619337.0,2216.0,616.0,22040.0,-88.0,888.0,17812.0
18021337.0,2204.0,652.0,22144.0,-136.0,1060.0,17872.0
18423337.0,2300.0,632.0,22080.0,-24.0,700.0,18032.0
18825337.0,2168.0,556.0,22044.0,-28.0,880.0,17964.0
19227337.0,2304.0,544.0,22072.0,-52.0,788.0,17984.0
19629337.0,2500.0,536.0,22332.0,116.0,948.0,17908.0
20031337.0,2236.0,484.0,22244.0,-80.0,732.0,18068.0
20433337.0,2432.0,476.0,21984.0,104.0,660.0,18056.0
3496399.0,2432.0,864.0,21876.0,116.0,984.0,18088.0
3898348.0,1888.0,1372.0,21360.0,-492.0,1684.0,17224.0
4300340.0,2000.0,620.0,22132.0,-240.0,852.0,18064.0
4702340.0,2412.0,640.0,22068.0,0.0,960.0,17952.0
5104340.0,2252.0,456.0,21996.0,48.0,752.0,17960.0
5506340.0,2192.0,488.0,22148.0,-32.0,768.0,18088.0
5908340.0,2300.0,608.0,22020.0,0.0,876.0,18020.0
6310340.0,2140.0,568.0,22144.0,-144.0,912.0,17952.0
6712340.0,2196.0,544.0,22040.0,-60.0,868.0,17928.0
7114340.0,2300.0,544.0,22248.0,-128.0,648.0,18116.0
7516340.0,2420.0,552.0,22020.0,252.0,676.0,17796.0
7918340.0,2420.0,492.0,22052.0,48.0,716.0,17976.0
8320340.0,2340.0,500.0,22120.0,68.0,844.0,18088.0
8722340.0,2216.0,396.0,22176.0,24.0,776.0,18132.0
9124340.0,2416.0,584.0,22276.0,96.0,820.0,18144.0
9526340.0,2340.0,668.0,22064.0,128.0,800.0,18024.0
9928340.0,2292.0,640.0,22164.0,4.0,880.0,17800.0
10330340.0,2244.0,592.0,22120.0,-52.0,812.0,17980.0
10732340.0,2208.0,684.0,22188.0,24.0,904.0,17956.0
11134340.0,2332.0,704.0,22000.0,-12.0,900.0,17944.0
11536340.0,2380.0,696.0,22048.0,-176.0,764.0,17856.0
11938340.0,1748.0,-104.0,22612.0,-20.0,396.0,17752.0
12340340.0,2208.0,652.0,22164.0,-60.0,952.0,17992.0
12742340.0,2180.0,556.0,22188.0,0.0,876.0,17936.0
13144340.0,2288.0,596.0,21964.0,12.0,820.0,18120.0
13546340.0,2256.0,568.0,22136.0,-72.0,764.0,18084.0
13948340.0,2156.0,688.0,22016.0,-100.0,856.0,17984.0
14350340.0,2388.0,556.0,22208.0,32.0,828.0,18088.0
14752340.0,2316.0,480.0,22072.0,-32.0,696.0,17940.0
15154340.0,2272.0,684.0,22044.0,92.0,868.0,18064.0
15556340.0,2148.0,552.0,22092.0,-104.0,856.0,18204.0
15958340.0,2316.0,600.0,22220.0,52.0,792.0,17908.0
